train_loss,train_accuracy,val_loss,val_accuracy,learning_rate,train_samples_per_second,val_samples_per_second,peak_memory_gb
3.506451110273655,0.05918367346938776,3.396190137987013,0.08831168831168831,0.0005,444.1968244407562,250.14195217327858,7.596882343292236
3.133287917439703,0.13710575139146566,2.836995231331169,0.21385281385281385,0.0014,2638.322720472815,1332.5943230887588,2.4020285606384277
2.7062987375347864,0.22949907235621522,2.454387344426407,0.3194805194805195,0.0023,2648.385892709287,1305.2622596087358,2.4020285606384277
2.4087542758580707,0.32170686456400743,2.2562582437094156,0.3645021645021645,0.0031999999999999997,2596.721995206237,1309.819432692204,2.4020285606384277
2.5068471706864566,0.30166975881261593,2.2381573829816017,0.3437229437229437,0.0040999999999999995,2589.084623165439,1306.7026010113557,2.4020285606384277
2.2570971996753246,0.3443413729128015,2.1670169186282466,0.3645021645021645,0.005,2571.7890792509925,1278.3351000775453,2.4020285606384277
2.0661730707908164,0.3974025974025974,1.7415881400500541,0.46060606060606063,0.004998635877065611,2642.0170842197304,1315.1158731015018,2.4020285606384277
1.622280844155844,0.5007421150278293,1.4829749433509198,0.529004329004329,0.0049945449999108426,2566.8892685892124,1356.1482013549298,2.4020285606384277
1.3044613868274582,0.6059369202226345,1.185074129971591,0.6320346320346321,0.004987731841849804,2448.6617530661297,1337.1442113036223,2.4020285606384277
1.0641472018494897,0.6749536178107607,1.075341374120671,0.6632034632034632,0.004978203852970803,2475.2411795609237,1331.0751909506296,2.4020285606384277
0.9039908612592764,0.7222634508348794,0.8333238742052219,0.7307359307359307,0.004965971451989792,2435.379775568247,1319.8384036642628,2.4020285606384277
0.780890990984462,0.7558441558441559,0.7726097470238096,0.7627705627705628,0.004951048014857649,2660.6637434681556,1320.7753223242166,2.4020285606384277
0.684480990549629,0.7892393320964749,0.6738138570413961,0.787012987012987,0.0049334498601337744,2572.6835779041553,1377.5684445812344,2.4020285606384277
0.6119475808789425,0.8100185528756957,0.6343339928300866,0.812987012987013,0.004913196231141985,2483.89057227369,1313.1417156882796,2.4020285606384277
0.6028401843692023,0.8092764378478664,0.5651937905844155,0.8277056277056277,0.004890309274928222,2495.7396774876297,1299.499576212259,2.4020285606384277
0.5453158971330009,0.8339517625231911,0.5279602843445617,0.8424242424242424,0.004864814018043084,2532.1831853025774,1318.5424241706683,2.4020285606384277
0.493355706096359,0.8473098330241188,0.49469622987689393,0.8528138528138528,0.004836738339175656,2504.065157834664,1336.8829342119204,2.4020285606384277
0.4774895096532931,0.8452690166975881,0.46388885365936144,0.8623376623376623,0.0048061129386685756,2631.9809900182986,1297.4864760795303,2.4020285606384277
0.40963938753768553,0.8701298701298701,0.43898111979166665,0.8692640692640693,0.004772971304947661,2489.527842989974,1321.3816388992775,2.4020285606384277
0.4007664837952226,0.872356215213358,0.45869848738501084,0.8493506493506493,0.004737349677902805,2429.863365856546,1321.3110106801944,2.4020285606384277
0.3528438985679499,0.8842300556586271,0.44970153544372293,0.8640692640692641,0.004699287009260191,2585.291513280801,1353.5199884413182,2.4020285606384277
0.3419920289671266,0.8940630797773655,0.4347815839759199,0.870995670995671,0.004658824919989147,2679.002648316071,1342.8672696188987,2.4020285606384277
0.3232483476345083,0.8961038961038961,0.4563799969561688,0.8640692640692641,0.004616007654790234,2496.71553020353,1318.8569432256634,2.4020285606384277
0.3052328530844156,0.898330241187384,0.41859881248308983,0.8718614718614719,0.004570882033714311,2555.752453625825,1333.4314818558578,2.4020285606384277
0.2802792805687616,0.9077922077922078,0.36427828966281117,0.8909090909090909,0.004523497400965495,2518.801714321248,1186.1102489921793,2.4020285606384277
0.2659296095924165,0.911317254174397,0.3600431367948458,0.8900432900432901,0.004473905570944003,2578.356432747082,1284.3618056009739,2.4020285606384277
0.2347025289163961,0.9217068645640074,0.38943526362959957,0.8952380952380953,0.004422160771587864,2620.2998759703773,1288.6273389138685,2.4020285606384277
0.2323345233867695,0.923747680890538,0.34857743168290045,0.8891774891774892,0.0043683195850754645,2703.159482629258,1318.8677933211425,2.4020285606384277
0.2150469664961155,0.9274582560296846,0.3046273896188447,0.896969696969697,0.004312440885953768,2720.1505706847333,1336.903502418395,2.4020285606384277
0.22353205353519248,0.9256029684601114,0.32375710227272725,0.9064935064935065,0.0042545857767598595,2673.967481228891,1325.625542431752,2.4020285606384277
0.2216495436065051,0.924860853432282,0.363503090334145,0.8891774891774892,0.004194817521206225,2706.1557928888665,1304.879881403356,2.4020285606384277
0.19710179259914193,0.9309833024118739,0.3357477361505682,0.9021645021645022,0.004133201475002801,2619.076749407455,1310.944742251707,2.4020285606384277
0.18108207971576415,0.9406307977736549,0.32415031664299243,0.9012987012987013,0.004069805014391476,2603.712586324329,1377.6398162020969,2.4020285606384277
0.17294301332038498,0.9441558441558442,0.3307501458502435,0.896969696969697,0.004004697462471149,2443.4020441241055,1386.6730736995946,2.4020285606384277
0.17088313907771915,0.9435992578849721,0.30641902246516506,0.9082251082251083,0.003937950013393946,2619.5719147407635,1446.7275719301724,2.4020285606384277
0.16137580942355637,0.9447124304267162,0.2820490585261093,0.9142857142857143,0.0038696356545154576,2669.2370610574712,1323.5588182120541,2.4020285606384277
0.15841647627623492,0.9452690166975881,0.2870092086461715,0.9125541125541126,0.0037998290865841338,2653.948844181296,1370.7630176858047,2.4020285606384277
0.1548148811637581,0.9482374768089054,0.29342564174107144,0.9090909090909091,0.003728606642057119,2636.4071284442584,1391.1885016089425,2.4020285606384277
0.14426571876087083,0.9523191094619666,0.297979736328125,0.9125541125541126,0.0036560462016318276,2558.9780341663186,1339.8961850505725,2.4020285606384277
0.13442143880812268,0.9576994434137291,0.2568313928909632,0.929004329004329,0.0035822271090845408,2435.340497157392,1382.248508689144,2.4020285606384277
0.12805461140422078,0.9567717996289424,0.3249811081659226,0.9038961038961039,0.00350723008450916,2567.7857661884505,1321.1294572674253,2.4020285606384277
0.11341262845692254,0.963821892393321,0.284303026075487,0.9203463203463204,0.0034311371360509616,2608.232900515705,1331.4463069284502,2.4020285606384277
0.10631738779496173,0.9623376623376624,0.28105608787371483,0.9246753246753247,0.0033540314702319002,2505.415272576019,1352.2585607501871,2.4020285606384277
0.09745756301455241,0.9671614100185528,0.26079545454545455,0.9246753246753247,0.0032759974009654953,2675.3661437829514,1406.6917823458195,2.4020285606384277
0.09411517481193472,0.9692022263450835,0.2514981356534091,0.9341991341991343,0.003197120257360804,2685.034277174493,1399.7242712099141,2.4020285606384277
0.10126221609027133,0.9664192949907235,0.27536560322815207,0.922943722943723,0.0031174862904162952,2462.1320499429407,1337.7781904275728,2.4020285606384277
0.09746120927064007,0.9667903525046382,0.24704354686654492,0.929004329004329,0.0030371825787056505,2624.3551503009744,1374.1642911322385,2.4020285606384277
0.09007054826103027,0.9677179962894249,0.2766128077651515,0.9238095238095239,0.0029562969331586152,2629.991321940141,1447.5383313642535,2.4020285606384277
0.08781065648915816,0.9671614100185528,0.26860660701603084,0.9281385281385282,0.0028749178010410467,2699.6514361591453,1410.8409677013688,2.4020285606384277
0.08425358646654685,0.9732838589981447,0.27244825487012986,0.9264069264069265,0.002793134169239119,2680.739311979739,1345.2767860676818,2.4020285606384277
